Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Glow-worm,Ultracom2 24cxi,4701910,28.31,25.50,23.0 - 26.8,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Ideal,Classic FF 230,4138701,11.00,9.91,8.9 - 10.4,N/A,N/A,N/A,N/A,13.2,3.5,Yes
Ideal,CLASSIC FF 240,4138702,14.70,13.24,11.9 - 13.9,N/A,N/A,N/A,N/A,14.5,8.5,Yes
Ideal,Classic NF 30,4142930,11.00,9.91,8.9 - 10.4,N/A,N/A,N/A,N/A,13.9,4,Yes
Ideal,Classic NF 40,4142931,14.70,13.24,11.9 - 13.9,N/A,N/A,N/A,N/A,12.7,7.5,Yes
Ideal,Classic FF 330,4139154,10.80,9.73,8.8 - 10.2,N/A,N/A,N/A,N/A,12.4,N/A,Yes
Ideal,Logic Code Combi ESP1 26,4734935,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Exclusive 24,4734941,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 12,4139795,13.54,12.20,11.0 - 12.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 15,4139783,16.76,15.10,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 24,4139785,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos M3080,4139149,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 24,4734831,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 30,4734830,33.52,30.20,27.2 - 31.7,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 35,4734829,39.96,36.00,32.4 - 37.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Logic Code Combi 26,4734874,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Code Combi ES26,4734904,26.97,24.30,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 24,4734856,26.97,24.30,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 30,4734857,33.74,30.40,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 35,4734858,39.29,35.40,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi C 24,4734918,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 30,4734919,33.74,30.40,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 35,4734920,39.29,35.40,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES24,4734901,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES30,4734902,33.74,30.40,27.4 - 31.9,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES35,4734903,39.29,35.40,31.9 - 37.2,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP24,4734912,26.97,24.30,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP30,4734913,33.74,30.40,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP35,4734914,39.29,35.40,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP1 24,4734921,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 30,4734922,33.74,30.40,27.4 - 31.9,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 35,4734923,39.29,35.40,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 12,4139999,13.43,12.10,10.9 - 12.7,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 15,4140993,16.76,15.10,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 18,4140994,20.09,18.10,16.3 - 19.0,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 24,4140995,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Max System S18,4179614,20.09,18.10,16.3 - 19.0,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic+ CombI 24,4734865,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic+ CombI 30,4734866,33.74,30.40,27.4 - 31.9,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic+ Combi C 24,4734915,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic+ Combi C 30,4734916,33.74,30.40,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Mini C24,4734818,29.53,26.60,23.9 - 27.9,N/A,N/A,0.004,N/A,11.7,1.8,Yes
Ideal,Logic Heat 30,4140996,33.74,30.40,27.4 - 31.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat H12,4175077,13.43,12.10,10.9 - 12.7,9.1(+/-0.7),8.5(+/-0.7,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat H15,4175078,16.76,15.10,13.6 - 15.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat H18,4175079,20.09,18.10,16.3 - 19.0,9.5(+/-0.7),8.9(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat H24,4175080,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat H30,4175081,33.74,30.40,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat2 H12,4186010,13.43,12.10,10.9 - 12.7,9.1(+/-0.7),8.5(+/-0.7,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat2 H15,4186011,16.76,15.10,13.6 - 15.9,9.4(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat2 H18,4186012,20.09,18.10,16.3 - 19.0,9.3(+/-0.7),8.7(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat2 H24,4186013,26.97,24.30,21.9 - 25.5,9.3(+/-0.7),8.4(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat2 H30,4186014,33.74,30.40,27.4 - 31.9,9.7(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System 15,4175024,16.76,15.10,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic System 18,4175025,20.09,18.10,16.3 - 19.0,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic System 24,4175026,26.97,24.30,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic System 30,4175027,33.74,30.40,27.4 - 31.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic System S15,4175061,16.76,15.10,13.6 - 15.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System S18,4175062,20.09,18.10,16.3 - 19.0,9.5(+/-0.7),8.9(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System S24,4175063,26.97,24.30,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System S30,4175064,33.74,30.40,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System2 S15,4179685,16.76,15.10,13.6 - 15.9,9.5(+/-0.7),8.9(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System2 S18,4179686,20.09,18.10,16.3 - 19.0,9.3(+/-0.7),8.3(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System2 S24,4179687,26.97,24.30,21.9 - 25.5,9.2(+/-0.7),8.5(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic System2 S30,4179688,33.74,30.40,27.4 - 31.9,9.6(+/-0.7),8.7(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 18,4139784,20.76,18.70,16.8 - 19.6,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 30,4139910,34.08,30.70,27.6 - 32.2,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 36,4139916,41.63,37.50,33.8 - 39.4,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos m3080 System,4139152,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos He 15 System,4142199,16.76,15.10,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 24 System,4139782,27.08,24.40,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Main,15 Heat ErP,4146724,16.88,15.20,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,If Ratio is greater than 0.004
Main,18 Heat ErP,4146725,20.18,18.18,16.4 - 19.1,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,If Ratio is greater than 0.004
Main,Combi 24 HE,4747402,27.52,24.80,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2,2,Yes
Main,Eco Elite 24 System ErP,4146728,28.92,26.05,23.4 - 27.4,9.0(+0.0/-0.4),8.4(+0.0/-0.4),0.004,N/A,N/A,N/A,Refer To M.I's
Potterton,Assure Combi 30,4739359,34.33,30.93,27.8 - 32.5,9.0(+0.3/-0.2),8.5(+0.1/-0.4,0.004,N/A,N/A,N/A,Yes
Potterton,Assure 16 Heat,4159267,18.32,26.05,23.4 - 27.4,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 19 Heat,4159268,21.75,19.59,17.6 - 20.6,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure Combi 36,4739367,40.85,36.80,33.1 - 38.6,9.0(+0.3/-0.2),8.5(+0.1/-0.4,0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 24 HE,4759005,27.42,24.70,22.2 - 25.9,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Yes
Potterton,Gold Combi 28 HE,4759006,32.08,28.90,26.0 - 30.3,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Yes
Potterton,Heatmax Combi 24 HE,4739327,27.42,24.70,22.2 - 25.9,8.7(+/-0.2),8.4(+/-0.2),N/A,N/A,N/A,N/A,Refer To M.I's
Potterton,KINGFISHER CF40,4158902,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,14.2,8.4,Yes
Potterton,Performa 24,4739306,26.30,23.69,21.3 - 24.9,N/A,N/A,N/A,N/A,12.2(+/-0.5),2.5(+/-0.2),Yes
Potterton,Performa 24 Eco HE,4739311,27.53,24.80,22.3 - 26.0,N/A,N/A,N/A,N/A,10.2(+/-0.5),2.0(+/-0.3),Yes
Potterton,Prima 50F,4160703,20.34,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,11,7,Yes
Potterton,Prima 30F,4160701,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,8.4,3.9,Yes
Potterton,Prima 40F,4160702,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,11.3,6.5,Yes
Potterton,Promax 15 System ErP,4159243,18.98,17.10,15.4 - 18.0,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 15 HE,4159058,18.74,16.88,15.2 - 17.7,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Potterton,Promax 24 HE,4159062,27.20,24.50,22.1 - 25.7,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Potterton,Promax 28 Combi ERP,4739348,32.10,28.92,26.0 - 30.4,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 28 HE Plus,4759004,32.08,28.90,26.0 - 30.3,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 33 HE Plus,4759003,37.74,34.00,30.6 - 35.7,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL15 Heat ErP,4159235,16.88,15.21,13.7 - 16.0,9.0(+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 28 Combi Erp,4739355,32.10,28.92,26.0 - 30.4,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Ultra 33 Combi Erp,4739356,37.80,34.05,30.6 - 35.8,9.0(+/-0.7),9.0(+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 33 HE Plus A,4739323,37.74,34.00,30.6 - 35.7,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 24 HE Plus A,4739321,27.42,24.70,22.2 - 25.9,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 28 HE Plus A,4739322,32.08,28.90,26.0 - 30.3,8.7(+/-0.2),8.4(+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Suprima 30 HE,4107535,10.22,9.21,8.3 - 9.7,N/A,N/A,N/A,N/A,8.6,N/A,Yes
Potterton,Suprima 40 HE,4107536,13.62,12.27,11.0 - 12.9,N/A,N/A,N/A,N/A,10.4,N/A,Yes
Potterton,Suprima 50 HE,4107537,17.04,15.35,13.8 - 16.1,N/A,N/A,N/A,N/A,9,N/A,Yes
Potterton,Suprima 60 HE,4107538,20.43,18.41,16.6 - 19.3,N/A,N/A,N/A,N/A,8.4,N/A,Yes
Potterton,Suprima 70 HE,4107539,23.84,21.48,19.3 - 22.6,N/A,N/A,N/A,N/A,11.4,N/A,Yes
Potterton,Suprima 80 HE,4107540,27.25,24.55,22.1 - 25.8,N/A,N/A,N/A,N/A,12.8,N/A,Yes
Potterton,Suprima 30L,4159042,12.21,11.00,9.9 - 11.6,N/A,N/A,N/A,N/A,9.3,N/A,Yes
Potterton,Suprima 40L,4159043,16.32,14.70,13.2 - 15.4,N/A,N/A,N/A,N/A,11.2,N/A,Yes
Potterton,Suprima 50L,4159044,20.31,18.30,16.5 - 19.2,N/A,N/A,N/A,N/A,10.3,N/A,Yes
Potterton,Suprima 60L,4159045,24.42,22.00,19.8 - 23.1,N/A,N/A,N/A,N/A,9.2,N/A,Yes
Potterton,Suprima 70L,4159046,28.42,25.60,23.0 - 26.9,N/A,N/A,N/A,N/A,13.4,N/A,Yes
Potterton,Suprima 80L,4159047,32.52,29.30,26.4 - 30.8,N/A,N/A,N/A,N/A,13.9,N/A,Yes
Potterton,Suprima 100L,4159048,39.85,35.90,32.3 - 37.7,N/A,N/A,N/A,N/A,13.6,N/A,Yes
Potterton,Promax System HE,4159069,37.47,33.76,30.4 - 35.4,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Potterton,Promax 12 SL,4159179,13.34,12.02,10.8 - 12.6,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax 15 SL,4159187,16.88,15.21,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax 18 SL,4159180,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax 24 SL,4159188,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax 30 SL,4159189,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax System 12 HE Plus,4159190,13.76,12.40,11.2 - 13.0,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax System 15 HE Plus,4159191,17.09,15.40,13.9 - 16.2,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax System 18 HE Plus,4159192,20.54,18.50,16.7 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax System 32 HE Plus,4159193,36.41,32.80,29.5 - 34.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Potterton,Promax System 12 HE Plus A,4159199,13.76,12.40,11.2 - 13.0,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 15 HE Plus A,4259201,17.09,15.40,13.9 - 16.2,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 18 HE Plus A,4259202,20.54,18.50,16.7 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 24 HE Plus A,4259203,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 32 HE Plus A,4259204,36.41,32.80,29.5 - 34.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold System 18 HE A,4159215,20.54,18.50,16.7 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold System 24 HE A,4159216,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold System 28 HE A,4159217,32.08,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 18 System ErP,4159239,20.50,18.47,16.6 - 19.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 24 System ErP,4159240,27.40,24.68,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 28 System ErP,4159241,32.10,28.92,26.0 - 30.4,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax Combi 24 HE Plus,4739317,22.25,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 33 HE,4759019,30.63,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 24 HE A,4739318,22.25,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 28 HE A,4739319,26.04,28.90,26.0 - 30.3,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold Combi 32 HE A,4739320,30.63,34.00,30.6 - 35.7,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold H 15,4159212,16.88,15.21,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold H 18,4159213,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold H 24,4159214,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL18 Heat ErP,4159236,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL24 Heat ErP,4159237,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax 12 System ErP,4159242,15.32,13.80,12.4 - 14.5,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 18 System ErP,4159244,22.76,20.50,18.5 - 21.5,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 24 System ErP,4159245,30.41,27.40,24.7 - 28.8,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 32 System ErP,4159246,40.40,36.40,32.8 - 38.2,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 15 Heat Erp,4159251,16.88,15.21,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold 18 Heat Erp,4159252,20.18,18.18,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold 24 Heat Erp,4159253,24.50,22.07,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 12,4159412,13.76,12.40,11.2 - 13.0,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 15,4159254,17.16,15.46,13.9 - 16.2,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 18,4159255,20.60,18.56,16.7 - 19.5,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 24,4159413,27.42,24.70,22.2 - 25.9,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 12 Heat,4159256,14.88,13.41,12.1 - 14.1,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 15 Heat,4159257,18.32,16.50,14.9 - 17.3,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 18 Heat,4159258,21.75,19.59,17.6 - 20.6,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 21 Heat,4159259,24.04,21.66,19.5 - 22.7,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 24 Heat,4159260,28.62,25.78,23.2 - 27.1,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 12 Heat,4159261,14.88,13.41,12.1 - 14.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 15 Heat,4159262,18.32,16.50,14.9 - 17.3,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 18 Heat,4159263,21.75,19.59,17.6 - 20.6,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 24 Heat,4159264,28.62,25.78,23.2 - 27.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 30 Heat,4159265,34.35,30.95,27.9 - 32.5,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 13 Heat,4159266,14.88,13.41,12.1 - 14.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 25 Heat,4159269,28.62,25.78,23.2 - 27.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 30 Heat,4159270,34.35,30.95,27.9 - 32.5,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 12 System,4159271,13.30,11.98,10.8 - 12.6,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 15 System,4159272,16.70,15.05,13.5 - 15.8,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 18 System,4159273,20.00,18.02,16.2 - 18.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 24 System,4159274,26.60,23.96,21.6 - 25.2,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 28 System,4159275,31.10,28.02,25.2 - 29.4,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 24 HE Plus,4160121,27.42,24.70,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 30 HE Plus,4160122,33.76,30.41,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Netaheat Profile 30e,4160539,12.43,11.20,10.1 - 11.8,N/A,N/A,N/A,N/A,10.4,5.9,Yes
Potterton,Netaheat Profile 40e,4160540,16.57,14.93,13.4 - 15.7,N/A,N/A,N/A,N/A,13.4,8.4,Yes
Potterton,Netaheat Profile 50e,4160541,20.82,18.76,16.9 - 19.7,N/A,N/A,N/A,N/A,12.8,8.7,Yes
Potterton,Netaheat Profile 60e,4160542,25.05,22.57,20.3 - 23.7,N/A,N/A,N/A,N/A,14,10.3,Yes
Potterton,Netaheat Profile 80e,4160543,33.58,30.25,27.2 - 31.8,N/A,N/A,N/A,N/A,14,8.5,Yes
Potterton,Profile Prima 30e,4160570,12.20,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,8.6,3.9,Yes
Potterton,Profile Prima 40e,4160571,16.26,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,11.6,6.9,Yes
Potterton,Profile Prima 50e,4160572,20.34,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,11.6,8,Yes
